,Column1,ID,Reference,Received,Confirmed,Farm,Field,Crop,EC  mS/cm,Phosphorus (Sap-ICP) ppm,Potassium (Sap-ICP) ppm,Calcium (Sap-ICP) ppm,Manganese (Sap-ICP) ppm,Zinc (Sap-ICP) ppm,Sulfur (Sap-ICP) ppm,Copper (Sap-ICP) ppm,Magnesium (Sap-ICP) ppm,Iron (Sap-ICP) ppm,Boron (Sap-ICP) ppm,Brix (Sap) %,pH (sap),Cl (sap) ppm,Sodium (Sap-ICP) ppm,Silicon (Sap-ICP) ppm,Aluminium (Sap-ICP) ppm,Cobalt (Sap-ICP) ppm,Molybdenum (Sap-ICP) ppm,N (sap) ppm,Total Sugars g/100g,NH4-N mg/kg,TN~ mg/kg
1325,54,1915053,,2020-06-18T14:00:00,2020-06-20T10:07:57,Natural Ecosystem Restoration,Bryant Structured New,Corn,10.5,457,3778,316,6.15,1.98,133,0.76,248,2.14,3.67,4.7,6.1,2041,15.4,133,5.46,-0.01,-0.01,2617,0.35,129.3,3120
1326,102,1915742,,2020-07-01T14:00:00,2020-07-03T09:25:08,Attitude Wellness,Bloodstar FR7 Old,Hemp,12.46,197,3777,552,1.26,0.36,134,0.12,414,0.27,2.11,4.3,6.9,576,5.6,21,-0.01,-0.01,0.17,3359,0.22,140.5,2460
1327,110,1914301,,2020-06-02T14:00:00,2020-06-04T08:37:20,Jamie Eddy,#4 Test New,Hemp,10.9,400,3777,714,4.72,0.91,1020,2.7,232,2.34,98.8,7.4,6.5,1191,14.2,116,0.6,1.9,2.8,151,1.7,63,208
1328,75,1909375,,2019-11-13T06:00:00,2019-11-19T07:29:28,Revolution Farms,Hydroponic B Butter,Lettuce,12.29,239,3776,344,0.81,1.6,101,0.11,135,1.1,0.36,2.7,6.1,339,20,2.7,-0.01,-0.01,0.05,4302,,,
1329,75,1909375,,2019-11-13T06:00:00,2019-11-19T07:29:28,Revolution Farms,Hydroponic B Butter,Lettuce,12.29,239,3776,344,0.81,1.6,101,0.11,135,1.1,0.36,2.7,6.1,339,20,2.7,-0.01,-0.01,0.05,4302,,,
1330,75,1909375,,2019-11-13T06:00:00,2019-11-19T07:29:28,Revolution Farms,Hydroponic B Butter,Lettuce,12.29,239,3776,344,0.81,1.6,101,0.11,135,1.1,0.36,2.7,6.1,339,20,2.7,-0.01,-0.01,0.05,4302,,,
1331,27,1914814,,2020-06-16T14:00:00,2020-06-18T04:33:03,Soil Max,RULDOPH Apple #1 NEW,Apple,9.92,544,3776,887,17.9,3.32,87.8,0.61,624,14.2,3.42,10.8,5.6,2210,8.28,6.4,-0.01,0.05,0.18,430,1.3,3.5,599
1332,7,1917381,,2020-07-29T14:00:00,2020-08-01T02:09:17,Common Citizen,GEL Old,Hemp,9.68,861,3776,549,1.31,0.19,114,0.06,474,0.62,4.15,4.9,6.3,1325,11,88,0.23,-0.01,1.96,353,0.5,155.5,7100
1333,22,1915818,,2020-07-01T14:00:00,2020-07-03T10:32:36,Common Citizen,MG New,Hemp,10.14,534,3775,467,1.8,-0.01,215,0.11,710,1.86,14.8,8.5,6.7,2300,6.04,146,-0.01,0.01,-0.01,1661,2.75,105,3660
1334,40,1918209,,2020-08-13T14:00:00,2020-08-15T04:47:08,Rudra Farms,White CBG New,Hemp,7.06,117,3774,1040,6.64,9.63,329,2.61,422,5.12,6.27,10.3,7.7,2125,4.27,142,0.23,0.02,3.55,211,3.02,36.25,1760
1335,40,1918209,,2020-08-13T14:00:00,2020-08-15T04:47:08,Rudra Farms,White CBG New,Hemp,7.06,117,3774,1040,6.64,9.63,329,2.61,422,5.12,6.27,10.3,7.7,2125,4.27,142,0.23,0.02,3.55,211,3.02,36.25,1760
1336,40,1918209,,2020-08-13T14:00:00,2020-08-15T04:47:08,Rudra Farms,White CBG New,Hemp,7.06,117,3774,1040,6.64,9.63,329,2.61,422,5.12,6.27,10.3,7.7,2125,4.27,142,0.23,0.02,3.55,211,3.02,36.25,1760
1337,6,1915191,,2020-06-22T14:00:00,2020-06-24T05:30:43,Natural Ecosystem Restoration,Orchard New,Peanut,13.85,652,3774,751,1.95,3.42,93.6,0.53,932,3.46,4.11,8,5.8,2542,44.7,63.7,8.38,0.03,0.19,155,-0.01,190,533
1338,62,1915980,,2020-07-08T04:00:00,2020-07-09T08:53:19,Strong Agronomy Management,Front Field 1 Old,Hemp,9.61,90.2,3773,1860,5.66,1,308,1.1,1210,3.33,7.75,8.7,6.3,3050,26.2,119,0.26,0.47,-0.01,755,2.25,106.5,1980
1339,133,1904292,,2019-06-13T04:00:00,2019-06-14T08:06:31,AllTech Crop Science,Blue,Almonds,11,144,3772,1688,5.4,2.8,154,0.24,624,8.4,5,7,5.5,1281,,58,6.2,-0.04,0.04,62,0.7,,
1340,133,1904292,,2019-06-13T04:00:00,2019-06-14T08:06:31,AllTech Crop Science,Blue,Almonds,11,144,3772,1688,5.4,2.8,154,0.24,624,8.4,5,7,5.5,1281,,58,6.2,-0.04,0.04,62,0.7,,
1341,133,1904292,,2019-06-13T04:00:00,2019-06-14T08:06:31,AllTech Crop Science,Blue,Almonds,11,144,3772,1688,5.4,2.8,154,0.24,624,8.4,5,7,5.5,1281,,58,6.2,-0.04,0.04,62,0.7,,
1342,3,1915216,,2020-06-22T14:00:00,2020-06-25T06:48:06,Wolfe Creek Organic Farm,Home West New,SUGARBEET,9.37,703,3772,31.7,6.07,7.69,179,59.8,467,6.06,3.65,5.9,6.8,2419,1000,21.5,6.89,0.02,0.11,421,1.2,116,2400
1343,162,1918086,,2020-08-12T14:00:00,2020-08-15T04:35:11,Private Stock Solutions,GM Old,Hemp,8.36,96,3771,985,7.06,8.41,578,100,409,0.93,60,5.8,7.1,3000,69,110,0.48,0.04,4.49,377,1.32,104.5,2570
1344,162,1918086,,2020-08-12T14:00:00,2020-08-15T04:35:11,Private Stock Solutions,GM Old,Hemp,8.36,96,3771,985,7.06,8.41,578,100,409,0.93,60,5.8,7.1,3000,69,110,0.48,0.04,4.49,377,1.32,104.5,2570
1345,162,1918086,,2020-08-12T14:00:00,2020-08-15T04:35:11,Private Stock Solutions,GM Old,Hemp,8.36,96,3771,985,7.06,8.41,578,100,409,0.93,60,5.8,7.1,3000,69,110,0.48,0.04,4.49,377,1.32,104.5,2570
1346,115,1930124,,2021-05-05T01:13:00,2021-05-06T06:04:30,Organic Living Solution,Room 2 Old,Hemp,5.54,51,3770,2257,4.12,3.97,383,1.11,532,1.18,9.29,4.9,7,1275,5.41,123,0.18,0.37,7.57,1776,0.4,112.5,3650
1347,84,1931751,,2021-06-03T02:20:00,2021-06-04T09:21:44,Strong Agronomy Management,AV2: Straw Old,Hemp,13.39,90,3770,952,10,2.37,687,5.59,528,3.24,15,4.7,6.8,3450,18,110,0.84,1.7,6.54,33,0.4,90,1060
1348,102,1912697,,2020-04-16T14:00:00,2020-04-18T06:43:39,Jamie Eddy,#2 New,Hemp,11.5,135,3770,1530,1,2.7,807,0.54,1227,4.5,106,9.3,6.7,1579,23,118,-0.01,1.3,1,393,,,
1349,102,1912697,,2020-04-16T14:00:00,2020-04-18T06:43:39,Jamie Eddy,#2 New,Hemp,11.5,135,3770,1530,1,2.7,807,0.54,1227,4.5,106,9.3,6.7,1579,23,118,-0.01,1.3,1,393,,,
1350,102,1912697,,2020-04-16T14:00:00,2020-04-18T06:43:39,Jamie Eddy,#2 New,Hemp,11.5,135,3770,1530,1,2.7,807,0.54,1227,4.5,106,9.3,6.7,1579,23,118,-0.01,1.3,1,393,,,
1351,114,1931073,,2021-05-19T04:08:00,2021-05-21T04:33:19,Common Citizen,LAKC Old,Hemp,13.25,190,3770,1538,3.33,1.02,228,0.31,822,2.84,4.4,7.9,7.2,2000,5.62,124,0.03,-0.01,0.15,366,1.35,112.5,3630
1352,22,1921423,,2020-11-05T02:11:00,2020-11-06T08:15:59,Strong Agronomy Management,Piegal H5L4 New,Hemp,6.44,217,3770,636,2.84,4.39,438,0.9,631,5.21,9.4,6.8,7.2,2825,28,118,0.28,1.6,3.58,120,1.42,42.75,841
1353,105,1913181,,2020-05-01T14:00:00,2020-05-06T08:22:24,Simonian Fruit,Fujikawa Old,Peach,14.46,301,3770,39.9,5.17,6.58,76.8,6.15,533,7.17,3.55,8.2,6,744,19.3,85.2,6.61,1.12,0.71,353,0.76,-0.01,1030
1354,115,1918565,,2020-08-19T14:00:00,2020-08-22T06:19:05,Jamie Eddy,#4 New,Hemp,10.3,67,3767,1160,3.32,7.36,520,1.18,585,-0.01,40,8,7.3,2025,3.38,136,-0.01,0.03,-0.01,269,1.4,0,2830
1355,56,1912396,,2020-04-02T04:00:00,2020-04-02T22:09:15,Dale Love,Circle  2 South,Wheat,11.42,412,3766,545,9.5,2.2,244,0.24,129,0.84,0.47,5.4,5.3,1560,24,143,-0.01,-0.01,0.05,115,-0.01,200,1783
1356,56,1912396,,2020-04-02T04:00:00,2020-04-02T22:09:15,Dale Love,Circle  2 South,Wheat,11.42,412,3766,545,9.5,2.2,244,0.24,129,0.84,0.47,5.4,5.3,1560,24,143,-0.01,-0.01,0.05,115,-0.01,200,1783
1357,56,1912396,,2020-04-02T04:00:00,2020-04-02T22:09:15,Dale Love,Circle  2 South,Wheat,11.42,412,3766,545,9.5,2.2,244,0.24,129,0.84,0.47,5.4,5.3,1560,24,143,-0.01,-0.01,0.05,115,-0.01,200,1783
1358,84,1915882,,2020-07-02T14:00:00,2020-07-08T04:58:00,Natural Ecosystem Restoration,H Patton 1 New,Hemp,11.48,98.6,3764,1250,1.77,0.38,265,0.68,748,1.2,12.4,6.3,7.2,3250,17.8,69.3,1.18,0.06,0.29,1170,0.65,122.5,2900
1359,9,1917019,,2020-07-23T14:00:00,2020-07-25T06:10:36,Natural Ecosystem Restoration,Hart 3 New,Corn,10.78,755,3763,387,5.78,1.13,242,0.73,472,7.47,5.93,5.4,6.1,1450,12,227,9.15,0.01,4.35,40,0,212.5,3750
1360,139,1914790,,2020-06-12T14:00:00,2020-06-17T02:01:34,Jones Farms,#5 New,Cotton,13.8,952,3763,2050,5.53,0.54,795,0.06,780,3.26,1.1,9,4.6,2520,146,71.7,8.08,0.01,-0.01,3291,1.3,151,3580
1361,33,1916846,,2020-07-21T14:00:00,2020-07-23T08:37:18,Jamie Eddy,B#4 Old,Hemp,11.6,84,3762,1150,6.37,8.36,408,12,879,2.6,12,7.9,7.6,2514,63,134,0.64,1.58,1.65,526,0.43,93.5,2740
1362,31,1931360,,2021-05-25T03:04:00,2021-05-26T04:12:19,Humboldt Organics LLC,GH Old,Hemp,23.23,21,3760,2448,1,4.71,445,0.56,1148,0.68,3.65,8.1,6.4,5425,5.14,134,0.08,0.01,0.66,599,0.7,250,1960
1363,93,1931760,,2021-06-03T02:20:00,2021-06-04T09:23:48,Strong Agronomy Management,Back Field 1 New,Hemp,12.93,107,3760,1324,7.45,8.42,399,1.31,614,3.15,9.09,9.7,7.6,1550,20,157,0.72,4.2,3.04,14,2.05,65,2030
1364,93,1915340,,2020-06-24T14:00:00,2020-06-26T08:48:54,Strong Agronomy Management,Garlic East Side Old ,Hemp,11.6,79.1,3759,1220,10.9,2.56,383,2.48,752,3.51,4.14,5.4,7.2,3655,22.6,106,0.22,0.06,5.63,921,0.68,124,2040
1365,89,1917380,,2020-07-29T14:00:00,2020-08-01T02:09:12,Common Citizen,GEL New,Hemp,9.35,559,3759,701,1.34,0.47,139,0.06,383,0.27,5.54,5.1,6.4,1025,5.38,110,0.36,-0.01,2.32,328,0.98,138.75,5980
1366,70,1912910,,2020-04-23T04:00:00,2020-04-28T03:37:55,Strong Agronomy Management,Banjo H4L5 Old,Hemp,10.81,154,3758,954,4.1,3.8,474,2.2,630,6.4,6,8.6,6.9,2263,15,95,2.1,0.11,0.07,320,1.3,10.4,1630
1367,70,1912910,,2020-04-23T04:00:00,2020-04-28T03:37:55,Strong Agronomy Management,Banjo H4L5 Old,Hemp,10.81,154,3758,954,4.1,3.8,474,2.2,630,6.4,6,8.6,6.9,2263,15,95,2.1,0.11,0.07,320,1.3,10.4,1630
1368,70,1912910,,2020-04-23T04:00:00,2020-04-28T03:37:55,Strong Agronomy Management,Banjo H4L5 Old,Hemp,10.81,154,3758,954,4.1,3.8,474,2.2,630,6.4,6,8.6,6.9,2263,15,95,2.1,0.11,0.07,320,1.3,10.4,1630
1369,142,1912896,,2020-04-23T04:00:00,2020-04-28T03:36:42,Strong Agronomy Management,Banjo Eastside W/O Companions Old,Hemp,9.83,113,3753,1355,7.5,5.8,270,2.4,1046,8.1,8.5,8.2,7.3,2041,31,96,3.2,0.46,2.2,3765,1.2,11.5,2090
1370,142,1912896,,2020-04-23T04:00:00,2020-04-28T03:36:42,Strong Agronomy Management,Banjo Eastside W/O Companions Old,Hemp,9.83,113,3753,1355,7.5,5.8,270,2.4,1046,8.1,8.5,8.2,7.3,2041,31,96,3.2,0.46,2.2,3765,1.2,11.5,2090
1371,142,1912896,,2020-04-23T04:00:00,2020-04-28T03:36:42,Strong Agronomy Management,Banjo Eastside W/O Companions Old,Hemp,9.83,113,3753,1355,7.5,5.8,270,2.4,1046,8.1,8.5,8.2,7.3,2041,31,96,3.2,0.46,2.2,3765,1.2,11.5,2090
1372,118,1918568,,2020-08-19T14:00:00,2020-08-22T06:19:08,Jamie Eddy,#5 Old,Hemp,12.04,50,3752,1390,3.13,4.68,285,6.55,995,0.37,56,6.6,7.6,3175,38,140,0.08,2.06,-0.01,5356,0.7,31.5,4630
1373,113,1931072,,2021-05-19T04:08:00,2021-05-21T04:33:18,Common Citizen,LAKC New,Hemp,11.72,115,3750,1462,2.11,1.61,237,0.28,520,0.76,4.41,8.9,7.7,875,2.68,135,0.02,-0.01,0.09,166,2.55,102.5,2310
1374,79,1931746,,2021-06-03T02:20:00,2021-06-04T09:23:46,Strong Agronomy Management,AV1: Cherry New,Hemp,11.34,168,3750,874,5.76,4.89,439,2.75,339,5.36,9.54,10.5,7.2,2125,5.21,153,0.24,0.71,1.63,58,2.53,40,1800
1375,47,1915046,,2020-06-18T14:00:00,2020-06-20T10:07:27,L.A. Hearne Co,Golf Old,Strawberry,7.66,239,3750,1250,2.5,-0.01,36.1,0.03,633,1.35,0.45,4.6,5.6,1325,41,44.5,-0.01,-0.01,-0.01,1286,1.2,31.5,1430
1376,46,1927566,,2021-03-24T02:28:00,2021-03-25T07:16:34,Greg Tesch,White Peaches Old,Peach,1.53,514,3750,95,7.43,6.06,100,1.98,394,2.41,3.41,11,5.4,670,1.95,35,2,0.04,0.23,27,2.3,0,13900
1377,8,1931675,,2021-06-03T01:38:00,2021-06-04T06:04:08,Compost Solutions Inc.,FOSTER - Peach New,Peach,1.16,543,3750,16,8.72,13,225,1.37,667,3.89,11,5.7,5.3,370,16,47,0.47,0.01,6.28,9,0.8,49,1900
1378,131,1923849,,2021-02-03T06:02:00,2021-02-05T06:02:18,Common Citizen,ESOG New,Hemp,10.47,1060,3750,648,1.7,0.81,233,0.09,376,1.64,3.56,4.2,5.9,800,21,92,0.08,-0.01,-0.01,544,0.3,24.75,2890
1379,2,1921219,,2020-10-29T06:08:00,2020-10-31T02:19:43,Common Citizen,PGOG New,Hemp,7.17,1310,3750,1050,1.17,1.53,377,0.08,288,1.37,7.5,5.8,6.1,2050,7.59,90,0.03,-0.01,0.9,109,1.23,82.5,3690
1380,76,1913520,,2020-05-13T04:00:00,2020-05-15T05:39:17,Jamie Eddy,GH# 4 Old,Hemp,12.22,90,3749,1082,4.1,2.3,669,4.8,577,4.1,38,7.7,7.3,3195,32,129,0.73,0.28,2.5,44,1.7,43,1450
1381,53,1915971,,2020-07-08T04:00:00,2020-07-09T08:53:10,Strong Agronomy Management,Banjo H4L5 New,Hemp,8.74,215,3749,515,1.39,1.9,298,6.02,504,7.13,8.41,7.4,6.2,2850,10.2,123,-0.01,0.76,-0.01,362,2,86.25,1920
1382,9,1910498,,2020-01-07T06:00:00,2020-01-08T07:32:08,GrowScripts,Citrus,CITRUS - NAVEL,8.65,624,3747,599,2.3,4.7,296,77,299,-0.01,2.6,9,5.4,637,23,34,-0.01,-0.01,0.05,275,12879,1.08,
1383,9,1910498,,2020-01-07T06:00:00,2020-01-08T07:32:08,GrowScripts,Citrus,CITRUS - NAVEL,8.65,624,3747,599,2.3,4.7,296,77,299,-0.01,2.6,9,5.4,637,23,34,-0.01,-0.01,0.05,275,12879,1.08,
1384,9,1910498,,2020-01-07T06:00:00,2020-01-08T07:32:08,GrowScripts,Citrus,CITRUS - NAVEL,8.65,624,3747,599,2.3,4.7,296,77,299,-0.01,2.6,9,5.4,637,23,34,-0.01,-0.01,0.05,275,12879,1.08,
1385,164,1917330,,2020-07-29T14:00:00,2020-07-31T07:27:24,Trent Nicholson,Corn Reg Treated,Corn,7.4,624,3747,503,5.15,0.21,96,0.86,302,0.96,1.72,6.3,5.8,1925,9.51,112,0.13,-0.01,1.54,41,1.72,117.75,2150
1386,23,1913511,,2020-05-13T04:00:00,2020-05-15T05:29:56,Jamie Eddy,#3 TEST New,Hemp,11.24,88,3745,1416,2.9,1.5,551,1.7,539,1.4,73,6.8,7.6,2141,26,113,0.2,3.6,3.3,261,1.9,43,1780
1387,3,1916624,,2020-07-15T14:00:00,2020-07-18T00:57:20,Jason Farrington,Sample #3 Old,Hemp,12.36,175,3745,1430,4.01,5.13,544,2.37,863,1.77,47,5.3,7.5,3825,29,102,-0.01,0.16,0.53,210,0.18,125,4140
1388,61,1912455,,2020-04-07T04:00:00,2020-04-08T05:23:25,Common Citizen,Gelato New,Hemp,11.66,677,3741,313,1.3,6.9,295,0.56,417,3.4,1.5,8.8,6.6,1634,32,57,-0.01,0.01,0.4,594,,,
1389,61,1912455,,2020-04-07T04:00:00,2020-04-08T05:23:25,Common Citizen,Gelato New,Hemp,11.66,677,3741,313,1.3,6.9,295,0.56,417,3.4,1.5,8.8,6.6,1634,32,57,-0.01,0.01,0.4,594,,,
1390,61,1912455,,2020-04-07T04:00:00,2020-04-08T05:23:25,Common Citizen,Gelato New,Hemp,11.66,677,3741,313,1.3,6.9,295,0.56,417,3.4,1.5,8.8,6.6,1634,32,57,-0.01,0.01,0.4,594,,,
1391,27,1916725,,2020-07-20T14:00:00,2020-07-22T06:03:59,Natural Ecosystem Restoration,Home Place Old,Cotton,15.29,52,3740,4720,7.99,0.24,1840,0.33,1200,0.26,9.83,9.2,6.5,4900,331,102,-0.01,-0.01,-0.01,61,0.02,300,2650
1392,129,1904288,,2019-06-13T04:00:00,2019-06-14T08:06:11,AllTech Crop Science,Blue,Almonds,17,144,3740,1256,5.2,3.4,110,0.28,642,8.4,4.8,6,5.5,1147,,68,7,-0.04,0.06,80,0.68,,
1393,129,1904288,,2019-06-13T04:00:00,2019-06-14T08:06:11,AllTech Crop Science,Blue,Almonds,17,144,3740,1256,5.2,3.4,110,0.28,642,8.4,4.8,6,5.5,1147,,68,7,-0.04,0.06,80,0.68,,
1394,129,1904288,,2019-06-13T04:00:00,2019-06-14T08:06:11,AllTech Crop Science,Blue,Almonds,17,144,3740,1256,5.2,3.4,110,0.28,642,8.4,4.8,6,5.5,1147,,68,7,-0.04,0.06,80,0.68,,
1395,23,1928880,,2021-04-22T03:14:00,2021-04-23T07:07:40,Abundant Harvest Organics,Sierra Rich Old,Peach,10.4,539,3740,21,4.4,2.2,113,1.1,625,2.6,3.7,5.9,5.1,85,4.6,52,1.3,0.03,0.09,21,1.25,0,1500
1396,67,1906014,,2019-08-01T04:00:00,2019-08-02T07:50:53,Soil Doctor Consulting,Canenero Farm Block 1,Hemp,21,65,3739,1326,15,3.3,324,0.34,758,2.5,2.2,6.7,7,3133,12,135,-0.05,-0.05,0.17,124,,,
1397,67,1906014,,2019-08-01T04:00:00,2019-08-02T07:50:53,Soil Doctor Consulting,Canenero Farm Block 1,Hemp,21,65,3739,1326,15,3.3,324,0.34,758,2.5,2.2,6.7,7,3133,12,135,-0.05,-0.05,0.17,124,,,
1398,67,1906014,,2019-08-01T04:00:00,2019-08-02T07:50:53,Soil Doctor Consulting,Canenero Farm Block 1,Hemp,21,65,3739,1326,15,3.3,324,0.34,758,2.5,2.2,6.7,7,3133,12,135,-0.05,-0.05,0.17,124,,,
1399,32,1915936,,2020-07-02T14:00:00,2020-07-08T04:58:52,Simonian Fruit,Markarian Old,Nectarine,8.3,309,3736,32.6,5.39,-0.01,160,1.5,861,10.2,4.83,11.2,5.6,1370,24.1,66.1,5.1,2.12,1.96,315,0.89,76,1820
1400,63,1912860,,2020-04-22T04:00:00,2020-04-28T03:20:36,Jamie Eddy,#3 Old,Hemp,14.85,54,3735,1310,3.3,2,529,3.5,942,2,32,4.5,7.6,2906,36,111,0.1,4.7,3.5,6246,0.04,29,1950
1401,63,1912860,,2020-04-22T04:00:00,2020-04-28T03:20:36,Jamie Eddy,#3 Old,Hemp,14.85,54,3735,1310,3.3,2,529,3.5,942,2,32,4.5,7.6,2906,36,111,0.1,4.7,3.5,6246,0.04,29,1950
1402,63,1912860,,2020-04-22T04:00:00,2020-04-28T03:20:36,Jamie Eddy,#3 Old,Hemp,14.85,54,3735,1310,3.3,2,529,3.5,942,2,32,4.5,7.6,2906,36,111,0.1,4.7,3.5,6246,0.04,29,1950
1403,119,1917250,,2020-07-28T14:00:00,2020-07-30T07:30:46,Jamie Eddy,#1 New,Hemp,8.69,84,3733,1420,3.76,3.03,766,7.67,436,1.49,133,6,7.5,1575,19,110,0.18,3.66,4.65,313,0.8,141.75,1310
1404,122,1913403,,2020-05-08T04:00:00,2020-05-09T05:12:01,Strong Agronomy Management,Garlic H7L2 New,Hemp,7.55,149,3733,926,2.1,2.9,271,1.3,453,1.1,7.6,6.8,7.2,32,18,127,0.29,0.03,0.18,53,1.41,5,115
1405,113,1919185,,2020-09-01T14:00:00,2020-09-03T23:44:48,Jamie Eddy,#3 Old,Hemp,10.3,36,3732,1360,4.76,5.92,431,11,804,0.72,83,5.9,7.5,3175,144,118,0.22,2,3.33,5661,0.52,180,3440
1406,33,1928492,,2021-04-15T00:19:00,2021-04-16T10:11:16,Natural Ecosystem Restoration,BRADEN - 12 W Old,Rye grass,8.64,82,3730,2050,51,2.19,671,0.8,331,4.34,28,8,6.3,6600,161,108,1.47,0.01,0.41,135,0.75,68.75,2650
1407,60,1931450,,2021-05-26T04:06:00,2021-05-28T02:22:54,Common Citizen,JK New,Hemp,3.86,257,3730,1408,2.02,2.62,325,0.09,443,2.21,8.04,7,6.8,925,2.97,79,0.05,-0.01,1.55,157,1.25,150.5,2930
1408,71,1931738,,2021-06-03T02:20:00,2021-06-04T09:20:17,Strong Agronomy Management,A BCD H8L3 New,Hemp,10.45,296,3730,536,3.69,5.27,315,1.74,391,5.06,7.18,7.7,7,2300,11,148,0.15,0.57,0.85,466,1.35,0,940
1409,95,1927697,,2021-03-25T06:24:00,2021-03-26T22:19:33,High Life Farms,F9 - Space Walker New,Hemp,8.12,362,3730,2030,5,7.55,344,2.68,562,5.8,54,7.8,6.7,1125,18,65,0.06,-0.01,0.58,49,1.5,16.5,3290
1410,68,1919771,,2020-09-16T14:00:00,2020-09-19T01:26:53,Common Citizen,PGOG Old,Hemp,6.86,1030,3730,471,0.77,0.74,292,0.14,688,1.15,2.43,7.4,6.4,2125,14,139,0.11,-0.01,0.75,155,1.52,67.5,3300
1411,17,1921663,,2020-11-12T07:22:00,2020-11-14T05:34:07,Common Citizen,PGOG New,Hemp,6.14,1280,3730,1000,1.08,2.11,370,0.06,521,0.87,10,6.7,6.1,1675,6.24,69,-0.01,-0.01,0.72,95,1.42,55,2050
1412,117,1918567,,2020-08-19T14:00:00,2020-08-22T06:19:07,Jamie Eddy,#5 New,Hemp,9.81,75,3729,1350,13,12,540,7.21,621,1.36,63,7.4,7.8,3075,24,139,0.09,0.1,-0.01,708,0.88,79.5,2390
1413,57,1916715,,2020-07-20T14:00:00,2020-07-22T05:57:06,Nutrien Ag - Blissfield ,Witts 4 Old,Capsicum,12.73,297,3729,11,1.18,-0.01,576,0.5,520,5.02,0.44,4.6,5.6,600,6.53,19,7.27,0.02,3.7,455,0,227.5,2760
1414,35,1915547,,2020-06-26T14:00:00,2020-07-01T06:28:42,Soil Doctor Consulting,Frieze WC 1 New,Hemp,12.8,57.6,3727,694,0.44,8.75,328,1.15,423,0.7,2.13,7.4,7,1300,4.49,112,-0.01,0.01,-0.01,465,1.35,192.5,2420
1415,126,1905627,,2019-07-20T04:00:00,2019-07-23T10:50:46,AllTech Crop Science,Blue,Almonds,16,120,3727,1113,6,2.6,160,-0.05,670,11,3.6,8,5.4,2215,19,93,-0.05,-0.05,-0.05,319,0.43,-0.05,
1416,126,1905627,,2019-07-20T04:00:00,2019-07-23T10:50:46,AllTech Crop Science,Blue,Almonds,16,120,3727,1113,6,2.6,160,-0.05,670,11,3.6,8,5.4,2215,19,93,-0.05,-0.05,-0.05,319,0.43,-0.05,
1417,126,1905627,,2019-07-20T04:00:00,2019-07-23T10:50:46,AllTech Crop Science,Blue,Almonds,16,120,3727,1113,6,2.6,160,-0.05,670,11,3.6,8,5.4,2215,19,93,-0.05,-0.05,-0.05,319,0.43,-0.05,
1418,14,1919003,,2020-08-28T14:00:00,2020-09-02T03:28:08,Elevate Ag,Johnson's SARE - Corn 3 Control,Corn,5.97,199,3725,859,24,1.72,186,1.62,403,2.41,7.13,7.9,5.7,1375,9.34,86,0.35,0.01,0.37,144,2.33,32.5,1780
1419,1,1916627,,2020-07-15T14:00:00,2020-07-18T00:57:35,Jason Farrington,Sample #5 New,Hemp,8.96,336,3725,2350,13,13,437,1.18,1270,4.92,129,11.1,7,2800,12,102,-0.01,0.09,2.26,28,1.92,97.5,4000
1420,131,1914349,,2020-06-03T14:00:00,2020-06-05T06:41:37,Soil Doctor Consulting,Tomato Old,Tomato determinate,11.68,48.2,3724,1340,4.66,-0.01,629,0.75,297,2.73,0.74,2.8,5.8,1702,90,9.63,-0.01,0.01,1.89,1967,0.1,80,1380
1421,64,1914292,,2020-06-02T14:00:00,2020-06-04T08:37:09,Jamie Eddy,#4 Old,Hemp,12.81,63.5,3722,1260,14.3,2.55,998,9.74,847,4.64,57.3,6.6,7.6,3713,68.5,142,0.64,11.6,3.48,106,0.73,75,1000
1422,58,1917286,,2020-07-29T14:00:00,2020-07-31T06:48:23,Wolfe Creek Organic Farm,Home WWS Foliar New,Tomato determinate,10.23,326,3722,2460,4.45,4.15,1570,2.37,651,0.58,2.41,6.2,5.4,2000,71,40,0.28,0.01,3.05,0,0.1,238.25,3450
1423,109,1915356,,2020-06-24T14:00:00,2020-06-26T09:07:00,Strong Agronomy Management,Front Field 1 Old,Hemp,12.66,69.8,3721,1980,4.51,0.7,410,0.83,1360,2.29,8.52,8.8,7.5,3090,13.6,141,0.6,0.64,1.79,859,0.85,111,2950
1424,58,1915057,,2020-06-18T14:00:00,2020-06-20T10:13:26,Natural Ecosystem Restoration,Skiles New,Corn,10.6,530,3721,226,5.04,1.33,184,0.82,156,1.54,3.51,4.2,6.1,1564,14.7,126,2.05,-0.01,-0.01,716,0.23,108.3,2730
1425,92,1920921,,2020-10-21T03:58:00,2020-10-23T06:04:03,Jason Farrington,Sample #3 New,Hemp,6.11,143,3720,2040,13,13,563,2.16,968,1.18,533,10.8,7.5,3600,11,129,0.17,0.2,0.93,455,4.05,45,2440
1426,120,1926804,,2021-03-04T08:25:00,2021-03-08T06:39:40,High Life Farms,F1 - ZuZu #10 Old,Hemp,12.62,242,3720,837,2.1,3.5,187,0.19,392,0.36,4.6,3.3,6.2,450,3.6,44,0.01,-0.01,-0.01,1443,0.25,95.5,3710
