,Column1,ID,Reference,Received,Confirmed,Farm,Field,Crop,EC  mS/cm,Phosphorus (Sap-ICP) ppm,Potassium (Sap-ICP) ppm,Calcium (Sap-ICP) ppm,Manganese (Sap-ICP) ppm,Zinc (Sap-ICP) ppm,Sulfur (Sap-ICP) ppm,Copper (Sap-ICP) ppm,Magnesium (Sap-ICP) ppm,Iron (Sap-ICP) ppm,Boron (Sap-ICP) ppm,Brix (Sap) %,pH (sap),Cl (sap) ppm,Sodium (Sap-ICP) ppm,Silicon (Sap-ICP) ppm,Aluminium (Sap-ICP) ppm,Cobalt (Sap-ICP) ppm,Molybdenum (Sap-ICP) ppm,N (sap) ppm,Total Sugars g/100g,NH4-N mg/kg,TN~ mg/kg
21,98,1905417,,2019-07-16T04:00:00,2019-07-17T09:16:50,Attitude Wellness,Bloodstar,Hemp,13.75,419,6819,1349,5.7,7.3,634,-0.05,901,2.4,29,7.4,7,446,7.7,62,-0.05,0.01,2.4,3247,,,
22,13,1919002,,2020-08-28T14:00:00,2020-09-02T03:28:08,Elevate Ag,Johnson's SARE - Corn 2 Holganix,Corn,9.52,238,6771,2090,47,2.85,518,1.86,787,4.35,6.66,9.7,5.8,1300,20,101,0.75,0.01,0.51,85,1.4,12.25,1730
23,99,1912694,,2020-04-16T14:00:00,2020-04-18T06:43:26,Jamie Eddy,IND Old,Hemp,5.67,52,6722,849,2.6,8.9,740,2.3,547,0.67,44,5.5,7.6,3101,86,99,-0.01,0.9,0.68,7447,,,
24,99,1912694,,2020-04-16T14:00:00,2020-04-18T06:43:26,Jamie Eddy,IND Old,Hemp,5.67,52,6722,849,2.6,8.9,740,2.3,547,0.67,44,5.5,7.6,3101,86,99,-0.01,0.9,0.68,7447,,,
25,99,1912694,,2020-04-16T14:00:00,2020-04-18T06:43:26,Jamie Eddy,IND Old,Hemp,5.67,52,6722,849,2.6,8.9,740,2.3,547,0.67,44,5.5,7.6,3101,86,99,-0.01,0.9,0.68,7447,,,
26,85,1920053,,2020-09-23T14:00:00,2020-09-26T05:19:00,Bevans Ag,Pitcher Welling New,Alfalfa,5.37,301,6710,6320,13,3.82,1130,0.88,1250,1.91,25,9.5,6.5,1700,265,70,0.68,0.03,1.97,37,0.35,75,2910
27,59,1910986,,2020-01-29T06:00:00,2020-01-29T06:03:48,Soil Doctor Consulting,Sophie's Breath #3 Old,Hemp,0,286,6699,1165,20,3.9,1715,0.9,1060,-0.01,24,11.8,6.1,0,339,125,-0.01,0.03,0.12,0,,,
28,28,1917342,,2020-07-29T14:00:00,2020-07-31T07:38:21,Cletus Burkholder,Asparagus Old,Asparagus,24.54,728,6683,1340,7.73,4.66,972,0.46,368,4.83,8.57,12,5.9,3650,21,6.06,0.19,0.01,3.1,90,1.12,57.5,6920
29,67,1904733,062119004-P3-MIC-A,2019-06-25T01:17:33,2019-06-25T07:31:14,Eco Pro Ag Products,SV Peppers Old,Capsicum,18,123,6634,5.7,12,2,227,4.3,617,1.9,0.55,4,5.8,1300,6,2.6,1.5,-0.05,0.26,947,,,
30,67,1904733,062119004-P3-MIC-A,2019-06-25T01:17:33,2019-06-25T07:31:14,Eco Pro Ag Products,SV Peppers Old,Capsicum,18,123,6634,5.7,12,2,227,4.3,617,1.9,0.55,4,5.8,1300,6,2.6,1.5,-0.05,0.26,947,,,
31,67,1904733,062119004-P3-MIC-A,2019-06-25T01:17:33,2019-06-25T07:31:14,Eco Pro Ag Products,SV Peppers Old,Capsicum,18,123,6634,5.7,12,2,227,4.3,617,1.9,0.55,4,5.8,1300,6,2.6,1.5,-0.05,0.26,947,,,
32,69,1904728,,2019-06-25T04:00:00,2019-06-25T07:34:05,Eco Pro Ag Products,Dewitt Peppers Old,Capsicum,11,132,6613,6.1,7,8.8,398,1.8,517,1.5,0.58,3.7,5.9,914,7.1,2.2,0.2,-0.05,0.11,654,,,
33,69,1904728,,2019-06-25T04:00:00,2019-06-25T07:34:05,Eco Pro Ag Products,Dewitt Peppers Old,Capsicum,11,132,6613,6.1,7,8.8,398,1.8,517,1.5,0.58,3.7,5.9,914,7.1,2.2,0.2,-0.05,0.11,654,,,
34,69,1904728,,2019-06-25T04:00:00,2019-06-25T07:34:05,Eco Pro Ag Products,Dewitt Peppers Old,Capsicum,11,132,6613,6.1,7,8.8,398,1.8,517,1.5,0.58,3.7,5.9,914,7.1,2.2,0.2,-0.05,0.11,654,,,
35,129,1915102,,2020-06-18T14:00:00,2020-06-20T11:14:24,Bevans Ag,Barrus SW New,Barley,15,420,6429,527,2.35,5.12,608,0.51,249,1.28,0.6,11.6,5.2,820,51.8,178,0.12,-0.01,-0.01,346,2.3,117.3,4400
36,68,1912855,,2020-04-22T04:00:00,2020-04-28T03:20:39,Jamie Eddy,IND New,Hemp,11.93,132,6423,1007,6.6,2.5,1121,9.4,530,7.3,27,6,7.7,2435,36,140,0.71,15,14,1577,0.19,37.6,1370
37,68,1912855,,2020-04-22T04:00:00,2020-04-28T03:20:39,Jamie Eddy,IND New,Hemp,11.93,132,6423,1007,6.6,2.5,1121,9.4,530,7.3,27,6,7.7,2435,36,140,0.71,15,14,1577,0.19,37.6,1370
38,68,1912855,,2020-04-22T04:00:00,2020-04-28T03:20:39,Jamie Eddy,IND New,Hemp,11.93,132,6423,1007,6.6,2.5,1121,9.4,530,7.3,27,6,7.7,2435,36,140,0.71,15,14,1577,0.19,37.6,1370
39,49,1915048,,2020-06-18T14:00:00,2020-06-20T10:07:37,Natural Ecosystem Restoration,Bryant Old,Corn,14.3,278,6400,3640,44.7,3.32,588,0.95,1415,2.03,8.73,8.1,5.8,4050,178,239,1.89,0.02,-0.01,391,0.58,83.8,3150
40,65,1917294,,2020-07-29T14:00:00,2020-07-31T06:48:26,Wolfe Creek Organic Farm,Home West Old,SUGARBEET,15.72,90,6389,47,4.59,1.65,309,7.82,629,2.4,1.93,3.5,5.8,4675,1140,15,1.31,0.01,1.26,185,0.85,118.5,2570
41,16,1911580,,2020-02-27T06:00:00,2020-02-28T05:45:17,Jamie Eddy,#4 New,Hemp,16.75,174,6316,914,0.49,6.9,280,0.97,523,1.1,8,7.5,8,1078,31,118,-0.01,-0.01,0.06,1661,,,
42,75,1926468,,2021-02-24T06:46:00,2021-02-27T01:37:51,High Life Farms,F11 - Tropicana Cookie Old,Hemp,12.49,323,6281,741,0.86,1.2,192,-0.01,496,0.6,4.5,3.4,6.4,400,6,31,0.29,-0.01,-0.01,2109,0.2,9.75,4140
43,51,1915050,,2020-06-18T14:00:00,2020-06-20T10:07:42,Natural Ecosystem Restoration,Hamilton Old,Corn,13.4,342,6230,2220,34.5,1.37,565,0.9,900,3.96,6.39,7,5.8,2364,229,237,1.13,0.02,-0.01,369,0.48,100.5,3060
44,62,1913320,,2020-05-07T04:00:00,2020-05-08T09:07:16,Jamie Eddy,GH# 1 Old,Hemp,14.5,111,6226,1577,6.1,1.9,399,7.5,581,5.8,14,5.8,7.3,1435,50,134,1.7,0.33,1.1,4585,0.55,-0.01,814
45,99,1926305,,2021-02-18T05:17:00,2021-02-26T23:31:47,Strong Agronomy Management,ICC H4L3A Old,Hemp,10.75,224,6212,1812,8.5,14,448,2,558,6.4,4.6,5.8,6.9,3550,8.1,77,-0.01,-0.01,0.18,18,0.5,-0.25,1980
46,136,1905681,,2019-07-23T04:00:00,2019-07-24T04:34:23,Soil Doctor Consulting,Mike Applegate New,Hemp,12.84,158.5,6207.5,1124.5,7,10,1277.5,0.8,945,20.5,7,13.3,7.8,2987,18,178,-0.05,0.28,0.8,102,,,
47,136,1905681,,2019-07-23T04:00:00,2019-07-24T04:34:23,Soil Doctor Consulting,Mike Applegate New,Hemp,12.84,158.5,6207.5,1124.5,7,10,1277.5,0.8,945,20.5,7,13.3,7.8,2987,18,178,-0.05,0.28,0.8,102,,,
48,136,1905681,,2019-07-23T04:00:00,2019-07-24T04:34:23,Soil Doctor Consulting,Mike Applegate New,Hemp,12.84,158.5,6207.5,1124.5,7,10,1277.5,0.8,945,20.5,7,13.3,7.8,2987,18,178,-0.05,0.28,0.8,102,,,
49,98,1912693,,2020-04-16T14:00:00,2020-04-18T06:43:21,Jamie Eddy,IND New,Hemp,18.7,119,6180,630,1.1,3.6,811,0.89,458,0.62,27,5.7,7.8,2362,27,116,-0.01,0.11,0.13,6379,,,
50,98,1912693,,2020-04-16T14:00:00,2020-04-18T06:43:21,Jamie Eddy,IND New,Hemp,18.7,119,6180,630,1.1,3.6,811,0.89,458,0.62,27,5.7,7.8,2362,27,116,-0.01,0.11,0.13,6379,,,
51,98,1912693,,2020-04-16T14:00:00,2020-04-18T06:43:21,Jamie Eddy,IND New,Hemp,18.7,119,6180,630,1.1,3.6,811,0.89,458,0.62,27,5.7,7.8,2362,27,116,-0.01,0.11,0.13,6379,,,
52,91,1915036,,2020-06-18T14:00:00,2020-06-20T10:00:40,Tom Rasch and Sons Orchard,Sweetango Old,Apple,6.58,436,6175,2510,15.4,2.65,373,0.64,1360,2.15,5.3,15.4,5.8,1657,13.2,45,10.6,0.16,0.16,728,2.05,3.7,1530
53,4,1921667,,2020-11-12T07:22:00,2020-11-14T05:34:08,Common Citizen,GMOB Old,Hemp,11.81,1300,6170,886,1.45,0.85,560,0.14,488,-0.01,4.21,5.9,5.9,1300,22,65,-0.01,-0.01,0.64,222,0.27,107.5,5190
54,112,1915092,,2020-06-18T14:00:00,2020-06-20T10:57:09,Bevans Ag,Leavitt Reserve New,Wheat,3.8,386,6147,669,3.57,0.88,505,0.4,258,1.49,1.41,9.3,5.9,1124,33,186,0.8,-0.01,-0.01,953,1.68,185.3,4540
55,42,1916629,,2020-07-17T04:00:00,2020-07-18T01:00:08,Nutrien Ag - Attica,DRW Deyo New,Capsicum,15.13,514,6142,30,18,19,702,23,667,4.64,1.97,6.9,6,2375,13,12,0.14,0.05,1.46,277,0.75,157.5,3320
56,90,1915035,,2020-06-18T14:00:00,2020-06-20T10:00:35,Tom Rasch and Sons Orchard,Sweetango New,Apple,8.15,381,6110,1458,15.3,4.38,124,0.59,1110,2.61,9.49,14.9,5.7,985,18,20,3.57,0.16,1.76,64,2.2,4.1,1680
57,96,1911701,,2020-03-04T06:00:00,2020-03-05T06:38:05,Jamie Eddy,#2 New,Hemp,13.78,145,6084,839,0.63,8.8,828,1.4,439,2,20,4.8,6.9,1152,52,143,-0.01,0.34,0.09,2140,,,
58,39,1906664,,2019-08-20T04:00:00,2019-08-21T04:56:15,Bill Scheffler,H2 Sativa/Sativa dom,Hemp,18,83,6073,2086,5.1,3.5,1323,0.15,1173,5,31,14.5,7.3,1816,5.5,123,-0.05,0.1,-0.05,168,2.5,2.2,
59,39,1906664,,2019-08-20T04:00:00,2019-08-21T04:56:15,Bill Scheffler,H2 Sativa/Sativa dom,Hemp,18,83,6073,2086,5.1,3.5,1323,0.15,1173,5,31,14.5,7.3,1816,5.5,123,-0.05,0.1,-0.05,168,2.5,2.2,
60,39,1906664,,2019-08-20T04:00:00,2019-08-21T04:56:15,Bill Scheffler,H2 Sativa/Sativa dom,Hemp,18,83,6073,2086,5.1,3.5,1323,0.15,1173,5,31,14.5,7.3,1816,5.5,123,-0.05,0.1,-0.05,168,2.5,2.2,
61,129,1915801,,2020-07-01T14:00:00,2020-07-03T10:06:11,Jamie Eddy,#7 New,Hemp,17.86,61.9,6066,2000,3.38,2.27,1060,3.91,1050,5.69,150,9.2,6.9,2398,18.5,144,-0.01,8.48,9.13,780,1.08,124.25,2880
62,24,1926458,,2021-02-24T06:11:00,2021-02-27T01:35:04,Common Citizen,CS Old,Hemp,11.69,759,6023,633,1.3,-0.01,245,-0.01,478,1.05,5.4,4.3,5.9,1200,8.1,94,-0.01,-0.01,-0.01,955,0.2,77.5,3890
63,67,1923433,,2021-01-21T07:07:00,2021-01-23T05:32:03,Common Citizen,Colin OG Old,Hemp,15.64,758,5990,1020,1.19,0.96,410,0.11,502,0.34,3.93,5.2,6.2,1400,29,66,0.03,0.01,0.09,289,0.25,77.5,5480
64,127,1915799,,2020-07-01T14:00:00,2020-07-03T10:06:01,Jamie Eddy,#6 New,Hemp,16.15,75,5979,1620,54.7,11.4,958,12.5,846,4.49,129,9.6,7.4,2011,23.8,146,0.24,0.76,-0.01,1430,1.1,125.75,2630
65,71,1904907,,2019-06-29T04:00:00,2019-07-02T22:57:08,Ozadia,Fisher001,Hemp,15.65,99,5959,1413,1.7,7.2,224,1.4,668,0.52,4.3,8.7,7.8,1265,24,121,-0.05,-0.05,0.2,571,0.3577,0.2,
