Batch ID,Title,Client Batch ID,Client Number,Client Name,SDG Received Date/Time,Incubation Date/Time
B-1289,0310211134FL,0310211134FL,NAL16-034,Mr. Grocery,3/10/2021 11:34,3/10/2021 16:03
B-1290,0310211327FL,0310211327FL,NAL16-102,What Not Inn,3/10/2021 13:27,3/10/2021 16:03
B-1291,0311211322FL,0311211322FL,NAL17-028,Hop & Vine Inn,3/11/2021 13:22,3/11/2021 16:00
B-1292,0311211524FL,0311211524FL,NAL16-154,Pizza Plus,3/11/2021 15:24,3/11/2021 16:00
B-1293,0312211016FL,0312211016FL,NAL15-023,Accutek Home Inspections,3/12/2021 10:16,3/12/2021 16:59
B-1294,0315211331FL,0315211331FL,NAL12-001,Bronson Wellness Center-South Haven,3/15/2021 13:31,3/15/2021 15:58
B-1295,0317211332FL,0317211332FL,NAL16-165,Pullman Bible Church,3/17/2021 13:32,3/17/2021 16:00
B-1296,0317211353FL,0317211353FL,NAL19-198,Fluresh,3/17/2021 13:53,3/17/2021 16:00
B-1297,0317211354FL,0317211354FL,NAL15-023,Accutek Home Inspections,3/17/2021 13:54,3/17/2021 16:00
B-1298,0317211534FL,0317211534FL,NAL17-085,Glenn Development Co.,3/17/2021 15:34,3/17/2021 16:00
B-1299,0318210943FL,0318210943FL,NAL15-023,Accutek Home Inspections,3/18/2021 9:43,3/18/2021 15:58
B-1300,0318210944FL,0318210944FL,NAL15-023,Accutek Home Inspections,3/18/2021 9:44,3/18/2021 15:58
B-1301,0319210812FL,0319210812FL,NAL15-023,Accutek Home Inspections,3/19/2021 8:12,3/19/2021 16:01
B-1302,0322211258FL,0322211258FL,NAL14-133,Warner Camp,3/22/2021 12:58,3/22/2021 16:04
B-1303,0322211448FL,0322211448FL,NAL19-034,Revolution Farms,3/22/2021 14:48,3/22/2021 16:09
B-1304,0322211455FL,0322211455FL,NAL19-034,Revolution Farms,3/22/2021 14:55,3/22/2021 16:04
B-1305,0323210803FL,0323210803FL,NAL15-023,Accutek Home Inspections,3/23/2021 8:03,3/23/2021 16:11
B-1306,0323211127FL,0323211127FL,NAL16-052,Heater Farms LLC,3/23/2021 11:27,3/23/2021 16:11
B-1308,0324210812FL,0324210812FL,NAL15-023,Accutek Home Inspections,3/24/2021 8:12,3/24/2021 16:04
B-1309,0324210905FL,0324210905FL,NAL18-096,"Dowd Properties, LLC",3/24/2021 9:05,3/24/2021 16:04
B-1310,0324211012FL,0324211012FL,NAL18-144,Schooner Dept,3/24/2021 10:12,3/24/2021 16:04
B-1311,0324211425FL,0324211425FL,NAL21-049,Trevor Cutler,3/24/2021 14:25,3/24/2021 16:04
B-1312,0324211511FL,0324211511FL,NAL11-093,DeGrandchamp Farms,3/24/2021 15:11,3/24/2021 16:09
B-1313,0325210902FL,0325210902FL,NAL19-169,Palisade Nuclear Plant,3/25/2021 9:02,3/25/2021 16:16
B-1314,0325210948FL,0325210948FL,NAL13-140,DeBest,3/25/2021 9:48,3/25/2021 16:16
B-1315,0325211230FL,0325211230FL,NAL16-189,Grace Apostolic Tabernacle,3/25/2021 12:30,3/25/2021 16:16
B-1316,0325211309FL,0325211309FL,NAL11-049A,Hamlin Farms,3/25/2021 13:09,3/25/2021 16:33
B-1317,0325211313FL,0325211313FL,NAL18-133,Lake Michigan Berry,3/25/2021 13:13,3/25/2021 16:33
B-1318,0325211434FL,0325211434FL,NAL20-170,Quick Way Liquor LLC,3/25/2021 14:34,3/25/2021 16:16
B-1319,0325211449FL,0325211449FL,NAL15-046,"Thomas Blueberries, Inc.",3/25/2021 14:49,3/25/2021 16:16
B-1320,0326211022FL,0326211022FL,NAL21-049,Trevor Cutler,3/26/2021 10:22,3/26/2021 15:58
B-1321,0326211421FL,0326211421FL,NAL15-142,Overhiser Orchard,3/26/2021 14:21,3/26/2021 15:58
B-1322,0326211533FL,0326211533FL,NAL19-097,Dhillon Gas,3/26/2021 15:39,3/26/2021 15:58
B-1323,0326211539FL,0326211539FL,NAL17-132,Phoenix Country Market,3/26/2021 15:39,3/26/2021 15:50
B-1324,032921029FL,032921029FL,NAL14-133,Warner Camp,3/29/2021 10:29,3/29/2021 16:02
B-1325,0329211421FL,0329211421FL,NAL15-106,True Blue Farms,3/29/2021 14:21,3/29/2021 16:08
B-1326,0330210946FL,0330210946FL,NAL15-023,Accutek Home Inspections,3/30/2021 9:46,3/30/2021 16:01
B-1327,0330211119FL,0330211119FL,NAL16-037,Linden Hills,3/30/2021 11:19,3/30/2021 16:01
B-1328,0330211352FL,0330211352FL,NAL18-061,Jack Traughber,3/30/2021 13:52,3/30/2021 16:01
B-1329,0330211539FL,0330211539FL,NAL16-189,Grace Apostolic Tabernacle,3/30/2021 15:39,3/30/2021 16:01
B-1330,0330211642FL,0330211642FL,NAL14-050,Brian Ensing,3/30/2021 16:42,3/30/2021 16:53
B-1331,0331210906FL,0331210906FL,NAL14-046,"Harris Blueberries, LLC",3/31/2021 9:06,3/31/2021 16:00
B-1332,0331210959FL,0331210959FL,NAL17-064,Beeches Golf Club,3/31/2021 9:59,3/31/2021 16:00
B-1333,0331211004FL,0331211004FL,NAL15-023,Accutek Home Inspections,3/31/2021 10:04,3/31/2021 16:00
B-1334,0331211404FL,0331211404FL,NAL16-037,Linden Hills,3/31/2021 14:04,3/31/2021 16:00
B-1335,0331211459FL,0331211459FL,NAL19-198,Fluresh,3/31/2021 14:59,3/31/2021 16:00
B-1336,0331211543FL,0331211543FL,NAL17-032,Baylors LLC,3/31/2021 15:43,3/31/2021 16:00
B-1338,0401210959FL,0401210959FL,NAL14-044,Goin's Blueberry Lane,4/1/2021 9:59,4/1/2021 16:10
B-1339,0401211022FL,0401211022FL,NAL15-085,Stokes Homestead,4/1/2021 10:22,4/1/2021 16:10
B-1340,0401211147FL,0401211147FL,NAL14-032,"Berry Fresh Farms, LLC",4/1/2021 11:47,4/1/2021 15:51
B-1341,0401211148FL,0401211148FL,NAL20-081,Blue Light Cultivate LLC,4/1/2021 11:48,4/1/2021 15:51
B-1342,0401211242FL,0401211242FL,NAL20-081,Blue Light Cultivate LLC,4/1/2021 12:42,4/1/2021 16:10
B-1343,0401211244FL,0401211244FL,NAL14-032,"Berry Fresh Farms, LLC",4/1/2021 12:44,4/1/2021 16:10
B-1344,0401211209FL,0401211209FL,NAL14-133,Warner Camp,4/1/2021 12:09,4/1/2021 16:10
B-1345,0401211212FL,0401211212FL,NAL14-053,Pine Lane Berry,4/1/2021 12:12,4/1/2021 16:10
B-1346,0401211321FL,0401211321FL,NAL15-146,Lakewood Beach Co.,4/1/2021 13:21,4/1/2021 16:10
B-1347,0401211607FL,0401211607FL,NAL15-023,Accutek Home Inspections,4/1/2021 16:07,4/1/2021 16:13
B-1348,0405210839FL,0405210839FL,NAL15-040,Palisades Park Country Club,4/5/2021 8:39,4/5/2021 15:58
B-1349,0405210857FL,0405210857FL,NAL15-023,Accutek Home Inspections,4/5/2021 8:57,4/5/2021 15:58
B-1350,0405210930FL,0405210930FL,NAL19-130,Winkel Orchards,4/5/2021 9:30,4/5/2021 15:58
B-1351,0405210936FL,0405210936FL,NAL14-031,Spice Bush Creek Farm,4/5/2021 9:36,4/5/2021 15:58
B-1352,0405210945FL,0405210945FL,NAL15-050,Jensen CampGround,4/5/2021 9:45,4/5/2021 15:58
B-1353,0405211139FL,0405211139FL,NAL14-029,New Horizon Harvest Corp.,4/5/2021 11:39,4/5/2021 15:58
B-1354,0406210758FL,0406210758FL,NAL15-050,Jensen CampGround,4/6/2021 7:58,4/6/2021 16:03
B-1355,0406210828FL,0406210828FL,NAL15-023,Accutek Home Inspections,4/6/2021 8:28,4/6/2021 16:03
B-1356,0406210829FL,0406210829FL,NAL15-023,Accutek Home Inspections,4/6/2021 8:29,4/6/2021 16:03
B-1357,0406210851FL,0406210851FL,NAL15-040,Palisades Park Country Club,4/6/2021 8:51,4/6/2021 16:03
B-1358,0406211137FL,0406211137FL,NAL14-046,"Harris Blueberries, LLC",4/6/2021 11:37,4/6/2021 16:03
B-1359,0406211359FL,0406211359FL,NAL11-093,DeGrandchamp Farms,4/6/2021 13:59,4/6/2021 16:10
B-1360,0406211521FL,0406211521FL,NAL18-093,Heritage Blueberries LLC,4/6/2021 15:21,4/6/2021 16:03
B-1361,0406211533FL,0406211533FL,NAL15-106,True Blue Farms,4/6/2021 15:33,4/6/2021 16:03
B-1362,0407210804FL,0407210804FL,NAL15-050,Jensen CampGround,4/7/2021 8:04,4/7/2021 16:19
B-1363,0407211321FL,0407211321FL,NAL14-041,Redlum Farms,4/7/2021 13:21,4/7/2021 16:30
B-1364,0407211333FL,0407211333FL,NAL11-041,Ross Stein Fruit Farm,4/7/2021 13:33,4/7/2021 16:19
B-1365,0407211342FL,0407211342FL,NAL16-029,Miller Fruit Farm,4/7/2021 13:42,4/7/2021 16:30
B-1366,0407211413FL,0407211413FL,NAL16-028,Latchaw Orchards,4/7/2021 14:13,4/7/2021 16:30
B-1367,0407211529FL,0407211529FL,NAL15-161,Stocchiero Farms,4/7/2021 15:29,4/7/2021 16:19
B-1368,0407211635FL,0407211635FL,NAL11-049B,Lakeshore Homestead,4/7/2021 16:35,4/7/2021 16:40
B-1369,0407211637FL,0407211637FL,NAL11-049B,Lakeshore Homestead,4/7/2021 16:37,4/7/2021 16:40
B-1370,0408210813FL,0408210813FL,NAL15-023,Accutek Home Inspections,4/8/2021 8:13,4/8/2021 16:02
B-1371,0408210818FL,0408210818FL,NAL15-023,Accutek Home Inspections,4/8/2021 8:18,4/8/2021 16:02
B-1372,0408211108FL,0408211108FL,NAL16-034,Mr. Grocery,4/8/2021 11:08,4/8/2021 16:02
B-1373,0408211159FL,0408211159FL,NAL16-189,Grace Apostolic Tabernacle,4/8/2021 11:59,4/8/2021 16:02
B-1374,0408211422FL,0408211422FL,NAL15-056,Guardian Home Inspections,4/8/2021 14:22,4/8/2021 16:02
B-1375,0408211451FL,0408211451FL,NAL18-061,Jack Traughber,4/8/2021 14:51,4/8/2021 16:02
B-1376,0408211456FL,0408211456FL,NAL18-187,Van Buren State Park,4/8/2021 14:56,4/8/2021 16:02
B-1377,0408211522FL,0408211522FL,NAL17-132,Phoenix Country Market,4/8/2021 15:22,4/8/2021 16:02
B-1378,0408211543FL,0408211543FL,NAL17-046,KalHaven Out Post,4/8/2021 15:43,4/8/2021 16:02
B-043,11111111111FL,11111111111FL,NAL17-127,Brian Kreiger,8/8/2019 4:21,
B-044,0807190820FL,0807190820FL,NAL16-034,Mr. Grocery,8/7/2019 4:20,8/7/2019 12:30
B-045,0807191004FL,0807191004FL,NAL15-023,Accutek Home Inspections,8/7/2019 6:04,8/7/2019 12:30
B-046,0807191120FL,0807191120FL,NAL15-091,Antonio Reyna,8/7/2019 7:20,8/7/2019 12:30
B-047,0807191300FL,0807191300FL,NAL18-061,Jack Traughber,8/7/2019 9:00,8/7/2019 12:30
B-048,0807191349FL,0807191349FL,NAL16-118,Saugatuck Weekends,8/7/2019 9:49,8/7/2019 12:30
B-049,0807191347FL,0807191347FL,NAL16-118,Saugatuck Weekends,8/7/2019 9:47,8/7/2019 12:30
B-050,0807191345FL,0807191345FL,NAL16-118,Saugatuck Weekends,8/7/2019 9:45,8/7/2019 12:30
B-051,0807191600FL,0807191600FL,NAL16-186,Adkin Blue Ribbon Packing Company,8/7/2019 12:00,8/7/2019 12:30
B-751,0618200917FL,0618200917FL,NAL15-023,Accutek Home Inspections,6/18/2020 9:17,6/19/2020 16:31
B-752,0618200919FL,0618200919FL,NAL15-023,Accutek Home Inspections,6/17/2020 9:19,6/19/2020 14:54
B-753,0618201242FL,0618201242FL,NAL16-102,What Not Inn,6/18/2020 12:42,6/19/2020 16:31
B-754,0618201304FL,0618201304FL,NAL18-097,Glenn Vineyard,6/18/2020 13:04,6/19/2020 16:31
B-755,0618201547FL,0618201547FL,NAL19-171,Blanche Hudson,6/18/2020 15:47,6/19/2020 16:16
B-756,0619201301FL,0619201301FL,NAL15-023,Accutek Home Inspections,6/19/2020 13:01,6/19/2020 16:34
B-757,0619201354FL,0619201354FL,NAL19-027,Meadowbrook Estates,6/19/2020 13:54,6/19/2020 16:34
B-758,0619201504FL,0619201504FL,NAL12-042,Remax Lakeshore,6/19/2020 15:04,6/19/2020 16:34
B-759,0622201021FL,0622201021FL,NAL20-101,Richard Gerdy,6/22/2020 10:21,6/22/2020 16:23
B-760,0622201138FL,0622201138FL,NAL17-045,Dune Lake Camp Ground,6/22/2020 11:38,6/22/2020 16:23
B-761,0622201337FL,0622201337FL,NAL17-028,Hop & Vine Inn,6/22/2020 13:37,6/22/2020 16:23
B-762,0622201628FL,0622201628FL,NAL11-049B,Lakeshore Homestead,6/22/2020 16:28,6/22/2020 16:53
B-763,0622201635FL,0622201635FL,NAL11-049B,Lakeshore Homestead,6/22/2020 16:35,
B-764,0623200923FL,0623200923FL,NAL15-023,Accutek Home Inspections,6/23/2020 9:23,6/23/2020 16:43
B-765,0623200924FL,0623200924FL,NAL15-023,Accutek Home Inspections,6/23/2020 9:24,6/23/2020 16:43
B-766,0623200947FL,0623200947FL,NAL20-104,Heritage Blueberries - Griffin,6/23/2020 9:47,6/23/2020 16:29
B-767,0623200957FL,0623200957FL,NAL18-144,Schooner Dept,6/23/2020 9:57,6/23/2020 16:43
B-768,0623201200FL,0623201200FL,NAL16-189,Grace Apostolic Tabernacle,6/23/2020 12:00,6/23/2020 16:43
B-769,0623201613FL,0623201613FL,NAL16-137,Douglas Tree Farms,6/23/2020 16:13,6/23/2020 16:29
B-770,0624201004FL,0624201004FL,NAL15-023,Accutek Home Inspections,6/24/2020 10:04,6/24/2020 16:31
B-771,0624201005FL,0624201005FL,NAL15-023,Accutek Home Inspections,6/24/2020 10:05,6/24/2020 16:31
B-772,0624201019FL,0624201019FL,NAL18-061,Jack Traughber,6/24/2020 10:19,6/24/2020 16:31
B-773,0624201204FL,0624201204FL,NAL14-037,Cornerstone Ag,6/24/2020 12:04,6/24/2020 16:43
B-774,0624201330FL,0624201330FL,NAL18-091,Douglas DeLeo,6/24/2020 13:30,6/24/2020 16:31
B-775,0624201628FL,0624201628FL,NAL19-097,Dhillon Gas,6/24/2020 16:28,6/24/2020 16:54
B-776,0625201325FL,0625201325FL,NAL19-027,Meadowbrook Estates,6/25/2020 13:25,6/25/2020 16:42
B-777,0625201501FL,0625201501FL,NAL15-046,"Thomas Blueberries, Inc.",6/25/2020 15:01,6/25/2020 16:55
B-778,0625201025FL,0625201025FL,NAL14-046,"Harris Blueberries, LLC",6/25/2020 10:25,6/25/2020 16:55
B-779,0625201031FL,0625201031FL,NAL15-023,Accutek Home Inspections,6/25/2020 10:31,6/25/2020 16:42
B-780,0625201229FL,0625201229FL,NAL14-037,Cornerstone Ag,6/25/2020 12:29,6/25/2020 16:55
B-781,0625201450FL,0625201450FL,NAL19-069,Czuba Farms,6/25/2020 14:50,6/25/2020 16:55
B-782,0625201550FL,0625201550FL,NAL16-026,Casco United Methodist Church,6/25/2020 15:50,6/25/2020 16:42
B-783,0626201225FL,0626201225FL,NAL16-154,Pizza Plus,6/26/2020 12:25,6/26/2020 16:22
B-784,0626201331FL,0626201331FL,NAL20-109,Duda,6/26/2020 13:31,6/26/2020 16:22
B-785,0626201427FL,0626201427FL,NAL18-119,Roedger Bros,6/26/2020 14:27,6/26/2020 16:14
B-786,0626201438FL,0626201438FL,NAL19-136,Bob&Deb Jones,6/26/2020 14:38,6/26/2020 16:14
B-787,0626201431FL,0626201431FL,NAL18-120,RJ Bluberries,6/26/2020 14:31,6/26/2020 16:14
B-788,0626201600FL,0626201600FL,NAL16-026,Casco United Methodist Church,6/26/2020 16:00,6/26/2020 16:24
B-789,0629200759FL,0629200759FL,NAL15-162,Seedling Enterprise,6/29/2020 7:59,6/29/2020 16:33
B-790,0625201047FL,0625201047FL,NAL17-087,Van Buren Cass DHD,6/25/2020 10:47,6/25/2020 0:00
B-791,0629201012FL,0629201012FL,NAL19-171,Blanche Hudson,6/29/2020 10:12,6/29/2020 16:19
B-792,0629201017FL,0629201017FL,NAL15-023,Accutek Home Inspections,6/29/2020 10:17,6/29/2020 16:33
B-793,0629201323FL,0629201323FL,NAL16-118,Saugatuck Weekends,6/29/2020 13:23,6/29/2020 16:33
B-794,0629201337FL,0629201337FL,NAL19-034,Revolution Farms,6/29/2020 13:37,6/29/2020 16:19
B-795,0629201422FL,0629201422FL,NAL16-071,Mana Azul,6/29/2020 14:22,6/29/2020 16:19
B-796,0629201439FL,0629201439FL,NAL18-045,Blinker's Restaurant,6/29/2020 14:39,6/29/2020 16:33
B-797,0629201508FL,0629201508FL,NAL17-046,KalHaven Out Post,6/29/2020 15:08,6/29/2020 16:33
B-798,0630201114FL,0630201114FL,NAL17-087,Van Buren Cass DHD,6/30/2020 11:14,6/30/2020 16:49
B-799,0630201211FL,0630201211FL,NAL12-042,Remax Lakeshore,6/30/2020 12:11,6/30/2020 16:49
B-800,0630201338FL,0630201338FL,NAL19-035,Elhorn Engineering,6/30/2020 13:38,6/30/2020 16:49
B-801,0630201523FL,0630201523FL,NAL11-093,DeGrandchamp Farms,6/30/2020 15:23,6/30/2020 16:49
B-802,0630201540FL,0630201540FL,NAL20-075,AAA Harris Blueberry,6/30/2020 15:40,6/30/2020 16:49
B-803,0630201659FL,0630201659FL,NAL19-117,The Fields,6/30/2020 16:59,6/30/2020 17:25
B-804,0701201113FL,0701201113FL,NAL15-023,Accutek Home Inspections,7/1/2020 11:13,7/1/2020 16:51
B-805,0701201241FL,0701201241FL,NAL18-128,Steve Mackey,7/1/2020 12:41,7/1/2020 16:51
B-806,0701201425FL,0701201425FL,NAL15-106,True Blue Farms,7/1/2020 14:25,7/1/2020 16:51
B-807,0701201611FL,0701201611FL,NAL11-093,DeGrandchamp Farms,7/1/2020 16:11,7/1/2020 16:51
B-808,0630201213FL,0630201213FL,NAL13-104,"New Day Berry Farms, LLC",6/30/2020 12:13,6/30/2020 16:49
B-809,0702201155FL,0702201155FL,NAL15-039,Glenn Public School,7/2/2020 11:55,7/2/2020 16:37
B-810,0702201328FL,0702201328FL,NAL15-050,Jensen CampGround,7/2/2020 13:28,7/2/2020 16:37
B-811,0702201423FL,0702201423FL,NAL17-064,Beeches Golf Club,7/2/2020 14:23,7/2/2020 16:37
B-812,0702201427FL,0702201427FL,NAL14-046,"Harris Blueberries, LLC",7/2/2020 14:27,7/2/2020 16:28
B-813,0702201440FL,0702201440FL,NAL15-161,Stocchiero Farms,7/2/2020 14:40,7/2/2020 16:28
B-814,0702201518FL,0702201518FL,NAL15-059,MBG,7/2/2020 15:18,7/2/2020 16:37
B-815,0706200816FL,0706200816FL,NAL15-023,Accutek Home Inspections,7/6/2020 8:16,7/6/2020 16:33
B-816,0706201245FL,0706201245FL,NAL19-111,Jody Sikkema,7/6/2020 12:45,7/6/2020 16:33
B-817,0706201328FL,0706201328FL,NAL14-064,Maria Morales,7/6/2020 13:28,7/6/2020 16:19
B-818,0706201411FL,0706201411FL,NAL19-034,Revolution Farms,7/6/2020 14:11,7/6/2020 16:33
B-819,0706201414FL,0706201414FL,NAL17-084,"Earl's Meats, LLC",7/6/2020 14:14,7/6/2020 16:33
B-820,0706201421FL,0706201421FL,NAL15-106,True Blue Farms,7/6/2020 13:05,7/6/2020 16:33
B-821,0706201651FL,0706201651FL,NAL15-023,Accutek Home Inspections,7/6/2020 16:51,7/6/2020 17:19
B-822,0706201701FL,0706201701FL,NAL15-056,Guardian Home Inspections,7/6/2020 17:01,7/6/2020 17:31
B-823,0707200942FL,0707200942FL,NAL17-087,Van Buren Cass DHD,7/7/2020 9:42,7/7/2020 16:38
B-824,0707201036FL,0707201036FL,NAL16-034,Mr. Grocery,7/7/2020 10:36,7/7/2020 16:38
B-825,0707201049FL,0707201049FL,NAL13-104,"New Day Berry Farms, LLC",7/7/2020 10:49,7/7/2020 16:25
B-826,0707201053FL,0707201053FL,NAL20-075,AAA Harris Blueberry,7/7/2020 10:53,7/7/2020 16:25
B-827,0707201318FL,0707201318FL,NAL17-125,Bumbleberry Acres,7/7/2020 13:18,7/7/2020 16:25
B-828,0707201321FL,0707201321FL,NAL15-040,Palisades Park Country Club,7/7/2020 13:21,7/7/2020 16:38
B-829,0707201404FL,0707201404FL,NAL15-056,Guardian Home Inspections,7/7/2020 14:04,7/7/2020 16:38
B-830,0707201426FL,0707201426FL,NAL15-149,Kibbie Christian Reformed Church,7/7/2020 14:26,7/7/2020 16:38
B-831,0708200932FL,0708200932FL,NAL15-023,Accutek Home Inspections,7/8/2020 9:32,7/8/2020 16:40
B-832,0708201602FL,0708201602FL,NAL19-099,Morales Farm,7/8/2020 16:02,7/8/2020 16:50
B-833,0708201445FL,0708201445FL,NAL18-105,Jason Hartmann,7/8/2020 14:45,7/8/2020 16:50
B-834,0708201447FL,0708201447FL,NAL20-075,AAA Harris Blueberry,7/8/2020 14:47,7/8/2020 16:50
B-835,0708201457FL,0708201457FL,NAL15-106,True Blue Farms,7/8/2020 14:57,7/8/2020 16:50
B-836,0709200850FL,0709200850FL,NAL19-027,Meadowbrook Estates,7/9/2020 8:50,7/9/2020 16:34
B-837,0709200941FL,0709200941FL,NAL15-023,Accutek Home Inspections,7/9/2020 9:41,7/9/2020 16:34
B-838,0709200945FL,0709200945FL,NAL18-142,Honey Blue Farms,7/9/2020 9:45,7/9/2020 16:18
B-839,0709201041FL,0709201041FL,NAL14-097,Bautista Blueberry,7/9/2020 10:41,7/9/2020 16:18
B-840,0709201321FL,0709201321FL,NAL15-085,Stokes Homestead,7/9/2020 13:21,7/9/2020 16:34
B-841,0710200935FL,0710200935FL,NAL15-023,Accutek Home Inspections,7/10/2020 9:35,7/10/2020 16:44
B-842,0710200930FL,0710200930FL,NAL19-065,David Rigozzi,7/10/2020 9:30,7/10/2020 16:44
B-843,0710201633FL,0710201633FL,NAL20-129,Lopez Farm,7/10/2020 16:33,7/10/2020 17:09
B-844,0710201201FL,0710201201FL,NAL18-135,Benito Lopez,7/10/2020 12:01,7/10/2020 16:44
B-845,0713200805FL,0713200805FL,NAL15-023,Accutek Home Inspections,7/13/2020 8:05,7/13/2020 16:25
B-846,0713201033FL,0713201033FL,NAL17-030,Septic Tank System,7/13/2020 10:33,7/13/2020 16:25
B-847,0713201132FL,0713201132FL,NAL15-149,Kibbie Christian Reformed Church,7/13/2020 11:32,7/13/2020 16:25
B-848,0714200958FL,0714200958FL,NAL15-023,Accutek Home Inspections,7/14/2020 9:58,7/14/2020 16:23
B-849,0714201537FL,0714201537FL,NAL15-106,True Blue Farms,7/14/2020 13:30,7/14/2020 16:08
B-850,0715200955FL,0715200955FL,NAL15-106,True Blue Farms,7/15/2020 9:55,7/15/2020 16:29
B-851,0715201150FL,0715201150FL,NAL15-023,Accutek Home Inspections,7/15/2020 11:50,7/15/2020 16:29
B-852,0715201513FL,0715201513FL,NAL17-030,Septic Tank System,7/15/2020 15:13,7/15/2020 16:29
B-853,0716201014FL,0716201014FL,NAL15-062,Eri Alcaraz,7/16/2020 10:14,7/16/2020 16:14
B-854,0716201106FL,0716201106FL,NAL15-023,Accutek Home Inspections,7/16/2020 11:06,7/16/2020 16:24
B-855,0716201114FL,0716201114FL,NAL11-041,Ross Stein Fruit Farm,7/16/2020 11:14,7/16/2020 16:24
B-857,0717201220FL,0717201220FL,NAL15-023,Accutek Home Inspections,7/17/2020 12:20,
B-858,0717201258FL,0717201258FL,NAL15-056,Guardian Home Inspections,7/17/2020 12:58,7/17/2020 16:17
B-859,0717201331FL,0717201331FL,NAL14-037,Cornerstone Ag,7/17/2020 13:31,7/17/2020 16:17
B-860,0717201618FL,0717201618FL,NAL15-023,Accutek Home Inspections,7/17/2020 16:18,7/17/2020 16:44
B-861,0720201237FL,0720201237FL,NAL19-034,Revolution Farms,7/20/2020 12:37,7/20/2020 17:00
B-862,0720201349FL,0720201349FL,NAL20-132,Johnny Blackston,7/20/2020 13:49,7/20/2020 17:00
B-863,0720201547FL,0720201547FL,NAL20-081,Blue Light Cultivate LLC,7/20/2020 15:47,7/20/2020 17:00
B-864,0721200947FL,0721200947FL,NAL15-161,Stocchiero Farms,7/21/2020 9:47,7/21/2020 16:15
B-866,0722200816FL,0722200816FL,NAL14-071,Stanislawski Blueberries,7/22/2020 8:16,7/22/2020 16:53
B-867,0722201001FL,0722201001FL,NAL15-023,Accutek Home Inspections,7/22/2020 10:01,7/22/2020 16:53
B-868,0722201417FL,0722201417FL,NAL16-141,Coloma Frozen Food,7/22/2020 14:17,7/22/2020 16:37
B-869,0722201621FL,0722201621FL,NAL14-037,Cornerstone Ag,7/22/2020 16:21,7/22/2020 16:37
B-870,0723200846FL,0723200846FL,NAL20-135,Poll Farms,7/23/2020 8:46,7/23/2020 16:24
B-871,0723201122FL,0723201122FL,NAL14-037,Cornerstone Ag,7/23/2020 11:22,7/23/2020 16:08
B-872,0723201527FL,0723201527FL,NAL20-135,Poll Farms,7/23/2020 15:27,7/23/2020 16:24
B-873,0723201652FL,0723201652FL,NAL11-049B,Lakeshore Homestead,7/23/2020 16:52,7/23/2020 17:04
B-018,0725191310FL,0725191310FL,NAL11-041,Ross Stein Fruit Farm,7/25/2019 9:10,7/25/2019 12:55
B-019,0725191050FL,0725191050FL,NAL14-046,"Harris Blueberries, LLC",7/25/2019 6:50,7/25/2019 12:55
B-1222,0118211341FL,0118211341FL,NAL12-001,Bronson Wellness Center-South Haven,1/18/2021 13:41,1/18/2021 15:53
B-1223,0119211200FL,0119211200FL,NAL15-023,Accutek Home Inspections,1/19/2021 12:00,1/19/2021 15:45
B-1224,0120211409FL,0120211409FL,NAL16-006,Hawkshead Restaurant & Inn,1/20/2021 14:09,1/20/2021 15:50
B-1225,0121211023FL,0121211023FL,NAL21-007,Dan Williamson,1/21/2021 10:23,1/21/2021 15:48
B-1226,0121211035FL,0121211035FL,NAL18-197,Allegan Con. Dist,1/21/2021 10:35,1/21/2021 15:48
B-1227,0122211404FL,0122211404FL,NAL16-189,Grace Apostolic Tabernacle,1/22/2021 14:04,1/22/2021 15:44
B-1228,0125210825FL,0125210825FL,NAL15-023,Accutek Home Inspections,1/25/2021 8:25,1/25/2021 15:50
B-1229,0125210826FL,0125210826FL,NAL15-023,Accutek Home Inspections,1/25/2021 8:26,1/25/2021 15:50
B-1230,0125211402FL,0125211402FL,NAL19-034,Revolution Farms,1/25/2021 14:02,1/25/2021 15:50
B-1231,0125211410FL,0125211410FL,NAL19-034,Revolution Farms,1/25/2021 14:10,1/25/2021 15:54
B-1232,0128211354FL,0128211354FL,NAL15-023,Accutek Home Inspections,1/28/2021 13:54,1/28/2021 15:50
B-1233,0128211356FL,0128211356FL,NAL15-023,Accutek Home Inspections,1/28/2021 13:56,1/28/2021 15:50
B-1234,0129211223FL,0129211223FL,NAL15-023,Accutek Home Inspections,1/29/2021 12:23,1/29/2021 16:00
B-1235,0129211431FL,0129211431FL,NAL16-026,Casco United Methodist Church,1/29/2021 14:31,1/29/2021 16:00
B-1236,0202211519FL,0202211519FL,NAL16-189,Grace Apostolic Tabernacle,2/2/2021 15:19,2/2/2021 15:50
B-1237,0204210802FL,0204210802FL,NAL15-023,Accutek Home Inspections,2/4/2021 8:02,2/4/2021 15:39
B-1238,0204210803FL,0204210803FL,NAL15-023,Accutek Home Inspections,2/4/2021 8:03,2/4/2021 15:39
B-1239,0204210804FL,0204210804FL,NAL15-023,Accutek Home Inspections,2/4/2021 8:04,2/4/2021 15:39
B-1240,0204211327FL,0204211327FL,NAL16-034,Mr. Grocery,2/4/2021 13:37,2/4/2021 15:39
B-1241,0204211441FL,0204211441FL,NAL15-106,True Blue Farms,2/4/2021 14:41,2/4/2021 15:39
B-1242,0208210757FL,0208210757FL,NAL15-023,Accutek Home Inspections,2/8/2021 7:57,2/8/2021 15:54
